date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2014-01-01,81.20,14198.75,18921.7,33139.11,938
2014-02-01,81.62,14127.75625,18978.4651,33105.97089,938
2014-03-01,70.43,14170.13952,18997.44357,33172.18283,938
2014-04-01,83.77,14411.03189,19054.4359,33470.73248,939.3
2014-05-01,95.54,14684.8415,19054.4359,33738.49834,939.3
2014-06-01,122.91,15096.01706,19073.49033,34143.36032,939.3
2014-07-01,121.37,15337.55333,19092.56382,34416.5072,939.3
2014-08-01,95.92,15046.13982,19207.1192,34210.00816,939.3
2014-09-01,91.89,15046.13982,19168.70497,34210.00816,939.3
2014-10-01,107.16,15091.27824,19015.35533,34073.16812,748.4
2014-11-01,111.14,15468.56019,18920.27855,34345.75347,748.4
2014-12-01,140.89,16087.3026,18844.59744,34895.28552,748.4
2015-01-01,215.98,16827.31852,19447.62455,36256.20166,748.4
2015-02-01,124.39,15800.85209,19214.25306,34987.2346,748.4
2015-03-01,104.35,15358.42823,19271.89582,34567.38779,748.4
2015-04-01,87.95,15035.90124,19387.52719,34359.98346,381
2015-05-01,96.60,15366.69107,19406.91472,34669.22331,381
2015-06-01,97.20,15674.02489,19426.32164,35015.91554,381
2015-07-01,95.55,15548.63269,19504.02692,34945.88371,381
2015-08-01,103.36,15299.85457,19621.05108,34771.15429,381
2015-09-01,101.14,15223.35529,19660.29319,34771.15429,381
2015-10-01,98.72,15436.48227,19699.61377,35014.55237,603.3
2015-11-01,138.90,16192.8699,19876.9103,35924.93074,603.3
2015-12-01,177.95,16516.7273,19936.54103,36320.10497,603.3
2016-01-01,155.39,16136.84257,19916.60449,35920.58382,603.3
2016-02-01,117.92,15717.28466,19956.43769,35525.4574,603.3
2016-03-01,120.11,15450.09082,19996.35057,35276.7792,603.3
2016-04-01,114.60,15789.99282,20156.32137,35805.93088,704.5
2016-05-01,122.55,16121.58267,20498.97884,36486.24357,704.5
2016-06-01,176.24,16879.29706,20539.9768,37252.45469,704.5
2016-07-01,127.16,16609.2283,20498.89684,36954.43505,704.5
2016-08-01,104.30,15944.85917,20539.89464,36363.16409,704.5
2016-09-01,93.61,15976.74889,20622.05421,36435.89042,704.5
2016-10-01,95.17,16264.33037,20704.54243,36836.68521,1160.5
2016-11-01,93.15,16443.238,21139.33782,37462.90886,1160.5
2016-12-01,86.65,16903.64867,21097.05915,37912.46376,1160.5
2017-01-01,79.13,17207.91434,21223.6415,38329.50087,1160.5
2017-02-01,96.56,17328.36974,21308.53607,38521.14837,1160.5
2017-03-01,81.28,17189.74279,21329.8446,38405.58493,1160.5
2017-04-01,116.78,17653.86584,21351.17445,38904.85753,1150
2017-05-01,124.84,17830.4045,21415.22797,39177.19153,1150
2017-06-01,171.62,18347.48623,21436.6432,39686.49502,1150
2017-07-01,145.15,17998.88399,21458.07984,39369.00306,1150
2017-08-01,146.70,17890.89069,21522.45408,39329.63406,1150
2017-09-01,157.87,18195.03583,21543.97654,39644.27113,1150
2017-10-01,171.21,18649.91172,21587.06449,40120.00238,1507.7
2017-11-01,181.58,19041.55987,21716.58688,40641.56242,1507.7
2017-12-01,184.66,19079.64299,21716.58688,40722.84554,1507.7
2018-01-01,176.11,18774.3687,21760.02005,40478.50847,1507.7
2018-02-01,119.02,17985.84522,21912.34019,39790.37382,1507.7
2018-03-01,117.19,17662.1,21956.16487,39511.84121,1507.7
2018-04-01,102.31,17626.7758,22000.0772,39551.35305,804.2
2018-05-01,111.05,17855.92389,22242.07805,39986.41793,804.2
2018-06-01,174.85,18463.0253,22353.28844,40706.17345,804.2
2018-07-01,138.83,18426.09925,22397.99502,40746.87963,804.2
2018-08-01,128.67,17891.74237,22554.78098,40380.15771,804.2
2018-09-01,134.95,17444.44881,22690.10967,40057.11645,804.2
2018-10-01,128.62,17427.00436,22848.94044,40217.34492,1047.8
2018-11-01,208.05,18315.78159,22871.78938,41102.1265,1047.8
2018-12-01,171.51,18242.51846,22757.43043,40896.61587,1047.8
2019-01-01,159.50,17877.66809,23189.82161,40978.4091,1047.8
2019-02-01,113.74,17466.48172,23398.53,40773.51706,1047.8
2019-03-01,135.01,17256.88394,23515.52265,40691.97002,1047.8
2019-04-01,116.91,17412.1959,23656.61579,40976.81381,779.8
2019-05-01,144.19,17777.85201,23727.58563,41427.55877,779.8
2019-06-01,140.49,17920.07483,23751.31322,41593.269,779.8
2019-07-01,127.89,17973.83505,23775.06453,41676.45554,779.8
2019-08-01,139.71,18009.78272,23822.61466,41759.80845,779.8
2019-09-01,139.71,18297.93925,23846.43728,42052.12711,779.8
2019-10-01,145.76,18718.79185,23822.59084,42472.64838,1104.7
2019-11-01,151.73,19055.7301,23822.59084,42812.42957,1104.7
2019-12-01,200.32,19817.95931,23703.47789,43497.42844,1104.7
2020-01-01,220.81,20313.40829,23869.40223,44149.88987,1104.7
2020-02-01,163.12,20293.09488,23893.27163,44149.88987,1104.7
2020-03-01,141.39,19664.00894,23941.05818,43575.9413,1104.7
2020-04-01,116.37,19526.36088,23941.05818,43445.21347,957.8
2020-05-01,149.84,19741.15085,23941.05818,43618.99433,957.8
2020-06-01,155.16,20333.38537,23941.05818,44229.66025,957.8
2020-07-01,129.01,20272.38522,24012.88135,44229.66025,957.8
2020-08-01,144.30,20373.74714,24084.92,44406.57889,957.8
2020-09-01,141.57,20597.85836,24181.25968,44761.83152,957.8
2020-10-01,142.89,20659.65194,24205.44094,44806.59335,1311
2020-11-01,147.76,20824.92915,24253.85182,45030.62632,1311
2020-12-01,183.01,21283.07759,24253.85182,45480.93258,1311
2021-01-01,177.79,21495.90837,24326.61337,45753.81818,1311
2021-02-01,225.00,21689.37155,24350.93999,45982.58727,1311
2021-03-01,141.54,21385.72034,24423.99281,45752.67433,1311
2021-04-01,188.04,21407.10606,24448.4168,45798.42701,1013
2021-05-01,181.03,21771.02687,24521.76205,46256.41128,1013
2021-06-01,204.93,22337.07357,24619.8491,46950.25745,1013
2021-07-01,175.02,22515.77015,24742.94834,47231.95899,1013
2021-08-01,198.86,22650.86478,24767.69129,47373.65487,1013
2021-09-01,191.76,22673.51564,24866.76206,47515.77583,1013
