Date,Retail Price,Inflation NCIP Food,Inflation NCIP Non Food,Inflation NCIP All Items,National Production
2014-01-01,93.59,14198.75,18921.7,33139.11,4345.7
2014-02-01,91.75,14127.75625,18978.4651,33105.97089,4345.7
2014-03-01,88.47,14170.13952,18997.44357,33172.18283,4345.7
2014-04-01,85.06,14411.03189,19054.4359,33470.73248,3025.8
2014-05-01,119.51,14684.8415,19054.4359,33738.49834,3025.8
2014-06-01,139.89,15096.01706,19073.49033,34143.36032,3025.8
2014-07-01,140.55,15337.55333,19092.56382,34416.5072,3025.8
2014-08-01,104.24,15046.13982,19207.1192,34210.00816,3025.8
2014-09-01,95.42,15046.13982,19168.70497,34210.00816,3025.8
2014-10-01,125.30,15091.27824,19015.35533,34073.16812,5496.2
2014-11-01,141.77,15468.56019,18920.27855,34345.75347,5496.2
2014-12-01,166.62,16087.3026,18844.59744,34895.28552,5496.2
2015-01-01,220.50,16827.31852,19447.62455,36256.20166,5496.2
2015-02-01,165.97,15800.85209,19214.25306,34987.2346,5496.2
2015-03-01,137.29,15358.42823,19271.89582,34567.38779,5496.2
2015-04-01,110.15,15035.90124,19387.52719,34359.98346,3741.5
2015-05-01,117.25,15366.69107,19406.91472,34669.22331,3741.5
2015-06-01,135.96,15674.02489,19426.32164,35015.91554,3741.5
2015-07-01,128.66,15548.63269,19504.02692,34945.88371,3741.5
2015-08-01,119.86,15299.85457,19621.05108,34771.15429,3741.5
2015-09-01,108.70,15223.35529,19660.29319,34771.15429,3741.5
2015-10-01,121.43,15436.48227,19699.61377,35014.55237,5656.3
2015-11-01,197.09,16192.8699,19876.9103,35924.93074,5656.3
2015-12-01,207.30,16516.7273,19936.54103,36320.10497,5656.3
2016-01-01,144.78,16136.84257,19916.60449,35920.58382,5656.3
2016-02-01,125.94,15717.28466,19956.43769,35525.4574,5656.3
2016-03-01,119.94,15450.09082,19996.35057,35276.7792,5656.3
2016-04-01,114.72,15789.99282,20156.32137,35805.93088,4011
2016-05-01,145.31,16121.58267,20498.97884,36486.24357,4011
2016-06-01,183.02,16879.29706,20539.9768,37252.45469,4011
2016-07-01,142.24,16609.2283,20498.89684,36954.43505,4011
2016-08-01,109.02,15944.85917,20539.89464,36363.16409,4011
2016-09-01,108.24,15976.74889,20622.05421,36435.89042,4011
