date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2014-01-01,82.22,14198.75,18921.7,33139.11,4345.7
2014-02-01,88.08,14127.75625,18978.4651,33105.97089,4345.7
2014-03-01,87.98,14170.13952,18997.44357,33172.18283,4345.7
2014-04-01,83.08,14411.03189,19054.4359,33470.73248,3025.8
2014-05-01,104.93,14684.8415,19054.4359,33738.49834,3025.8
2014-06-01,124.42,15096.01706,19073.49033,34143.36032,3025.8
2014-07-01,132.13,15337.55333,19092.56382,34416.5072,3025.8
2014-08-01,88.81,15046.13982,19207.1192,34210.00816,3025.8
2014-09-01,79.65,15046.13982,19168.70497,34210.00816,3025.8
2014-10-01,105.02,15091.27824,19015.35533,34073.16812,5496.2
2014-11-01,115.08,15468.56019,18920.27855,34345.75347,5496.2
2014-12-01,128.24,16087.3026,18844.59744,34895.28552,5496.2
2015-01-01,193.44,16827.31852,19447.62455,36256.20166,5496.2
2015-02-01,170.37,15800.85209,19214.25306,34987.2346,5496.2
2015-03-01,110.49,15358.42823,19271.89582,34567.38779,5496.2
2015-04-01,91.60,15035.90124,19387.52719,34359.98346,3741.5
2015-05-01,103.09,15366.69107,19406.91472,34669.22331,3741.5
2015-06-01,112.82,15674.02489,19426.32164,35015.91554,3741.5
2015-07-01,122.32,15548.63269,19504.02692,34945.88371,3741.5
2015-08-01,106.68,15299.85457,19621.05108,34771.15429,3741.5
2015-09-01,97.86,15223.35529,19660.29319,34771.15429,3741.5
2015-10-01,108.59,15436.48227,19699.61377,35014.55237,5656.3
2015-11-01,138.74,16192.8699,19876.9103,35924.93074,5656.3
2015-12-01,158.49,16516.7273,19936.54103,36320.10497,5656.3
2016-01-01,161.90,16136.84257,19916.60449,35920.58382,5656.3
2016-02-01,146.52,15717.28466,19956.43769,35525.4574,5656.3
2016-03-01,131.57,15450.09082,19996.35057,35276.7792,5656.3
2016-04-01,115.62,15789.99282,20156.32137,35805.93088,4011
2016-05-01,135.25,16121.58267,20498.97884,36486.24357,4011
2016-06-01,158.05,16879.29706,20539.9768,37252.45469,4011
2016-07-01,128.23,16609.2283,20498.89684,36954.43505,4011
2016-08-01,89.40,15944.85917,20539.89464,36363.16409,4011
2016-09-01,94.66,15976.74889,20622.05421,36435.89042,4011
2016-10-01,110.15,16264.33037,20704.54243,36836.68521,5298.3
2016-11-01,110.29,16443.238,21139.33782,37462.90886,5298.3
2016-12-01,106.06,16903.64867,21097.05915,37912.46376,5298.3
2017-01-01,105.53,17207.91434,21223.6415,38329.50087,5298.3
2017-02-01,133.19,17328.36974,21308.53607,38521.14837,5298.3
2017-03-01,134.69,17189.74279,21329.8446,38405.58493,5298.3
2017-04-01,133.06,17653.86584,21351.17445,38904.85753,4065.7
2017-05-01,133.32,17830.4045,21415.22797,39177.19153,4065.7
2017-06-01,141.96,18347.48623,21436.6432,39686.49502,4065.7
2017-07-01,134.80,17998.88399,21458.07984,39369.00306,4065.7
2017-08-01,121.14,17890.89069,21522.45408,39329.63406,4065.7
2017-09-01,114.70,18195.03583,21543.97654,39644.27113,4065.7
2017-10-01,128.88,18649.91172,21587.06449,40120.00238,5243.3
2017-11-01,141.51,19041.55987,21716.58688,40641.56242,5243.3
2017-12-01,151.43,19079.64299,21716.58688,40722.84554,5243.3
2018-01-01,147.89,18774.3687,21760.02005,40478.50847,5243.3
2018-02-01,143.48,17985.84522,21912.34019,39790.37382,5243.3
2018-03-01,122.21,17662.1,21956.16487,39511.84121,5243.3
2018-04-01,112.60,17626.7758,22000.0772,39551.35305,4276.8
2018-05-01,124.00,17855.92389,22242.07805,39986.41793,4276.8
2018-06-01,160.69,18463.0253,22353.28844,40706.17345,4276.8
2018-07-01,169.67,18426.09925,22397.99502,40746.87963,4276.8
2018-08-01,124.73,17891.74237,22554.78098,40380.15771,4276.8
2018-09-01,106.73,17444.44881,22690.10967,40057.11645,4276.8
2018-10-01,122.52,17427.00436,22848.94044,40217.34492,5813
2018-11-01,184.45,18315.78159,22871.78938,41102.1265,5813
2018-12-01,168.04,18242.51846,22757.43043,40896.61587,5813
2019-01-01,140.40,17877.66809,23189.82161,40978.4091,5813
2019-02-01,119.24,17466.48172,23398.53,40773.51706,5813
2019-03-01,115.34,17256.88394,23515.52265,40691.97002,5813
2019-04-01,124.12,17412.1959,23656.61579,40976.81381,4773.5
2019-05-01,144.42,17777.85201,23727.58563,41427.55877,4773.5
2019-06-01,129.38,17920.07483,23751.31322,41593.269,4773.5
2019-07-01,117.50,17973.83505,23775.06453,41676.45554,4773.5
2019-08-01,124.21,18009.78272,23822.61466,41759.80845,4773.5
2019-09-01,124.21,18297.93925,23846.43728,42052.12711,4773.5
2019-10-01,135.84,18718.79185,23822.59084,42472.64838,5881.5
2019-11-01,156.62,19055.7301,23822.59084,42812.42957,5881.5
2019-12-01,173.64,19817.95931,23703.47789,43497.42844,5881.5
2020-01-01,223.29,20313.40829,23869.40223,44149.88987,5881.5
2020-02-01,209.30,20293.09488,23893.27163,44149.88987,5881.5
2020-03-01,148.25,19664.00894,23941.05818,43575.9413,5881.5
2020-04-01,124.66,19526.36088,23941.05818,43445.21347,6093.7
2020-05-01,132.76,19741.15085,23941.05818,43618.99433,6093.7
2020-06-01,132.46,20333.38537,23941.05818,44229.66025,6093.7
2020-07-01,124.74,20272.38522,24012.88135,44229.66025,6093.7
2020-08-01,123.33,20373.74714,24084.92,44406.57889,6093.7
2020-09-01,131.74,20597.85836,24181.25968,44761.83152,6093.7
2020-10-01,131.55,20659.65194,24205.44094,44806.59335,6514
2020-11-01,126.28,20824.92915,24253.85182,45030.62632,6514
2020-12-01,145.82,21283.07759,24253.85182,45480.93258,6514
2021-01-01,166.39,21495.90837,24326.61337,45753.81818,6514
