date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2014-01-01,55.13,14198.75,18921.7,33139.11,4948.1
2014-02-01,58.59,14127.75625,18978.4651,33105.97089,4948.1
2014-03-01,68.38,14170.13952,18997.44357,33172.18283,4948.1
2014-04-01,66.92,14411.03189,19054.4359,33470.73248,4948.1
2014-05-01,54.08,14684.8415,19054.4359,33738.49834,4948.1
2014-06-01,48.11,15096.01706,19073.49033,34143.36032,4948.1
2014-07-01,54.08,15337.55333,19092.56382,34416.5072,4948.1
2014-08-01,72.53,15046.13982,19207.1192,34210.00816,4948.1
2014-09-01,80.23,15046.13982,19168.70497,34210.00816,4948.1
2014-10-01,72.59,15091.27824,19015.35533,34073.16812,5112.1
2014-11-01,65.01,15468.56019,18920.27855,34345.75347,5112.1
2014-12-01,70.42,16087.3026,18844.59744,34895.28552,5112.1
2015-01-01,89.85,16827.31852,19447.62455,36256.20166,5112.1
2015-02-01,110.47,15800.85209,19214.25306,34987.2346,5112.1
2015-03-01,113.99,15358.42823,19271.89582,34567.38779,5112.1
2015-04-01,102.51,15035.90124,19387.52719,34359.98346,5112.1
2015-05-01,86.19,15366.69107,19406.91472,34669.22331,5112.1
2015-06-01,118.19,15674.02489,19426.32164,35015.91554,5112.1
2015-07-01,113.77,15548.63269,19504.02692,34945.88371,5112.1
2015-08-01,96.77,15299.85457,19621.05108,34771.15429,5112.1
2015-09-01,85.91,15223.35529,19660.29319,34771.15429,5112.1
2015-10-01,74.59,15436.48227,19699.61377,35014.55237,4138.4
2015-11-01,71.27,16192.8699,19876.9103,35924.93074,4138.4
2015-12-01,69.74,16516.7273,19936.54103,36320.10497,4138.4
2016-01-01,87.84,16136.84257,19916.60449,35920.58382,4138.4
2016-02-01,104.21,15717.28466,19956.43769,35525.4574,4138.4
2016-03-01,103.29,15450.09082,19996.35057,35276.7792,4138.4
2016-04-01,87.91,15789.99282,20156.32137,35805.93088,4138.4
2016-05-01,73.25,16121.58267,20498.97884,36486.24357,4138.4
2016-06-01,78.65,16879.29706,20539.9768,37252.45469,4138.4
2016-07-01,80.23,16609.2283,20498.89684,36954.43505,4138.4
2016-08-01,94.66,15944.85917,20539.89464,36363.16409,4138.4
2016-09-01,118.13,15976.74889,20622.05421,36435.89042,4138.4
2016-10-01,96.50,16264.33037,20704.54243,36836.68521,4790.1
2016-11-01,72.89,16443.238,21139.33782,37462.90886,4790.1
2016-12-01,90.58,16903.64867,21097.05915,37912.46376,4790.1
2017-01-01,92.49,17207.91434,21223.6415,38329.50087,4790.1
2017-02-01,94.12,17328.36974,21308.53607,38521.14837,4790.1
2017-03-01,117.57,17189.74279,21329.8446,38405.58493,4790.1
2017-04-01,96.60,17653.86584,21351.17445,38904.85753,4790.1
2017-05-01,74.84,17830.4045,21415.22797,39177.19153,4790.1
2017-06-01,68.62,18347.48623,21436.6432,39686.49502,4790.1
2017-07-01,72.97,17998.88399,21458.07984,39369.00306,4790.1
2017-08-01,75.78,17890.89069,21522.45408,39329.63406,4790.1
2017-09-01,82.39,18195.03583,21543.97654,39644.27113,4790.1
2017-10-01,83.21,18649.91172,21587.06449,40120.00238,4043.3
2017-11-01,71.84,19041.55987,21716.58688,40641.56242,4043.3
2017-12-01,79.64,19079.64299,21716.58688,40722.84554,4043.3
2018-01-01,83.90,18774.3687,21760.02005,40478.50847,4043.3
2018-02-01,79.42,17985.84522,21912.34019,39790.37382,4043.3
2018-03-01,80.50,17662.1,21956.16487,39511.84121,4043.3
2018-04-01,85.42,17626.7758,22000.0772,39551.35305,4043.3
2018-05-01,74.86,17855.92389,22242.07805,39986.41793,4043.3
2018-06-01,72.31,18463.0253,22353.28844,40706.17345,4043.3
2018-07-01,80.42,18426.09925,22397.99502,40746.87963,4043.3
2018-08-01,99.97,17891.74237,22554.78098,40380.15771,4043.3
2018-09-01,113.99,17444.44881,22690.10967,40057.11645,4043.3
2018-10-01,92.75,17427.00436,22848.94044,40217.34492,4380.2
2018-11-01,83.85,18315.78159,22871.78938,41102.1265,4380.2
2018-12-01,111.46,18242.51846,22757.43043,40896.61587,4380.2
2019-01-01,132.60,17877.66809,23189.82161,40978.4091,4380.2
2019-02-01,167.03,17466.48172,23398.53,40773.51706,4380.2
2019-03-01,138.06,17256.88394,23515.52265,40691.97002,4380.2
2019-04-01,100.18,17412.1959,23656.61579,40976.81381,4380.2
2019-05-01,91.14,17777.85201,23727.58563,41427.55877,4380.2
2019-06-01,96.21,17920.07483,23751.31322,41593.269,4380.2
2019-07-01,86.48,17973.83505,23775.06453,41676.45554,4380.2
2019-08-01,96.01,18009.78272,23822.61466,41759.80845,4380.2
2019-09-01,96.67,18297.93925,23846.43728,42052.12711,4380.2
2019-10-01,82.28,18718.79185,23822.59084,42472.64838,7260.2
2019-11-01,78.48,19055.7301,23822.59084,42812.42957,7260.2
2019-12-01,83.23,19817.95931,23703.47789,43497.42844,7260.2
2020-01-01,90.32,20313.40829,23869.40223,44149.88987,7260.2
