date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2014-01-01,91.89,14198.75,18921.7,33139.11,3287.3
2014-02-01,95.87,14127.75625,18978.4651,33105.97089,3287.3
2014-03-01,93.94,14170.13952,18997.44357,33172.18283,3287.3
2014-04-01,95.51,14411.03189,19054.4359,33470.73248,3287.3
2014-05-01,95.67,14684.8415,19054.4359,33738.49834,3287.3
2014-06-01,95.05,15096.01706,19073.49033,34143.36032,3287.3
2014-07-01,96.69,15337.55333,19092.56382,34416.5072,3287.3
2014-08-01,107.83,15046.13982,19207.1192,34210.00816,3287.3
2014-09-01,109.96,15046.13982,19168.70497,34210.00816,3287.3
2014-10-01,108.54,15091.27824,19015.35533,34073.16812,3659.1
2014-11-01,109.80,15468.56019,18920.27855,34345.75347,3659.1
2014-12-01,108.28,16087.3026,18844.59744,34895.28552,3659.1
2015-01-01,110.12,16827.31852,19447.62455,36256.20166,3659.1
2015-02-01,109.87,15800.85209,19214.25306,34987.2346,3659.1
2015-03-01,109.78,15358.42823,19271.89582,34567.38779,3659.1
2015-04-01,111.39,15035.90124,19387.52719,34359.98346,3659.1
2015-05-01,103.25,15366.69107,19406.91472,34669.22331,3659.1
2015-06-01,111.65,15674.02489,19426.32164,35015.91554,3659.1
2015-07-01,110.06,15548.63269,19504.02692,34945.88371,3659.1
2015-08-01,114.12,15299.85457,19621.05108,34771.15429,3659.1
2015-09-01,121.80,15223.35529,19660.29319,34771.15429,3659.1
2015-10-01,116.29,15436.48227,19699.61377,35014.55237,3361.6
2015-11-01,109.55,16192.8699,19876.9103,35924.93074,3361.6
2015-12-01,112.60,16516.7273,19936.54103,36320.10497,3361.6
2016-01-01,121.26,16136.84257,19916.60449,35920.58382,3361.6
2016-02-01,123.99,15717.28466,19956.43769,35525.4574,3361.6
2016-03-01,129.92,15450.09082,19996.35057,35276.7792,3361.6
2016-04-01,136.61,15789.99282,20156.32137,35805.93088,3361.6
2016-05-01,135.03,16121.58267,20498.97884,36486.24357,3361.6
2016-06-01,135.02,16879.29706,20539.9768,37252.45469,3361.6
2016-07-01,147.79,16609.2283,20498.89684,36954.43505,3361.6
2016-08-01,158.27,15944.85917,20539.89464,36363.16409,3361.6
